model,train_score,cv_score,n_features
rf,0.93403142,0.50259537,50
rf,0.93556586,0.51276205,100
rf,0.93503914,0.51085829,150
rf,0.93511336,0.51302457,200
rf,0.93501787,0.51287483,250
rf,0.93541744,0.50279343,300
