model,train_score,cv_score,n_features
rf,0.85228303,0.14430991,2
rf,0.89522798,0.35657052,5
rf,0.89760773,0.37041409,10
rf,0.89908433,0.39073077,12
rf,0.89897064,0.35864941,15
rf,0.89729952,0.37947690,17
rf,0.90250733,0.34561668,19
rf,0.90243222,0.36434413,20
rf,0.89902662,0.32782724,50
rf,0.89413350,0.30795320,75
rf,0.89721294,0.32423718,100
rf,0.90307815,0.31602535,150
rf,0.89066403,0.31256686,200
