model,train_score,cv_score,n_features
svr_rbf,0.27248723,0.16074482,2
svr_rbf,0.24172150,0.08978966,5
svr_rbf,0.20756973,0.05024443,10
svr_rbf,0.20172346,0.04401336,12
svr_rbf,0.19823492,0.04008407,15
svr_rbf,0.19368585,0.03559206,17
svr_rbf,0.19196042,0.03357246,19
svr_rbf,0.19320355,0.03483347,20
svr_rbf,0.19709355,0.03712775,50
svr_rbf,0.20838790,0.04756437,75
svr_rbf,0.22366501,0.06166268,100
svr_rbf,0.24358756,0.08108715,150
svr_rbf,0.26352514,0.10089841,200
