model,train_score,cv_score,n_features
rf,0.86390330,0.16053782,2
rf,0.91398636,0.37939780,5
rf,0.91966729,0.41102438,10
rf,0.91872000,0.39913164,12
rf,0.91828969,0.39329171,15
rf,0.91708517,0.38849238,17
rf,0.91771975,0.38833012,19
rf,0.91475253,0.38259629,20
rf,0.91488954,0.36909812,50
rf,0.91499254,0.36665143,75
rf,0.91752057,0.35811269,100
rf,0.91351180,0.34692580,150
rf,0.91452031,0.35107356,200
