model,train_score,cv_score,n_features
ridge,0.20666458,0.17805310,2
ridge,0.34635163,0.32410876,5
ridge,0.35438369,0.32404783,10
ridge,0.36171479,0.32787819,12
ridge,0.36340077,0.32370577,15
ridge,0.36216201,0.31806310,17
ridge,0.36772608,0.32264927,19
ridge,0.36160500,0.31209143,20
ridge,0.38545018,0.30788887,50
ridge,0.39961425,0.29977718,75
ridge,0.41705983,0.29494138,100
ridge,0.45101151,0.27636602,150
ridge,0.47025462,0.24720126,200
