model,train_score,cv_score,n_features
rf,0.82397319,0.09728386,2
rf,0.88390194,0.34955437,5
rf,0.88464080,0.34537396,10
rf,0.88148608,0.35570192,12
rf,0.87785996,0.33592725,15
rf,0.87605084,0.33244652,17
rf,0.88702400,0.29881016,19
rf,0.87432010,0.33573634,20
rf,0.87964489,0.29554283,50
rf,0.86662023,0.31885959,75
rf,0.87171533,0.27332107,100
rf,0.87889640,0.29573153,150
rf,0.86925804,0.28737491,200
