model,train_score,cv_score,n_features
ridge,0.20666458,0.17805239,2
ridge,0.34634509,0.32410770,5
ridge,0.35409768,0.32378372,10
ridge,0.35967795,0.32304517,12
ridge,0.36099885,0.32103093,15
ridge,0.36319361,0.32279359,17
ridge,0.36402477,0.32181845,19
ridge,0.36540551,0.31808439,20
ridge,0.38616869,0.31522123,50
ridge,0.39853298,0.29656634,75
ridge,0.41414653,0.29588567,100
ridge,0.44264103,0.27015365,150
ridge,0.47238671,0.25598971,200
