model,train_score,cv_score,n_features
ridge,0.20666458,0.17805246,2
ridge,0.34636682,0.32410954,5
ridge,0.35436118,0.32362264,10
ridge,0.35978342,0.32495909,12
ridge,0.36360977,0.32407612,15
ridge,0.36367406,0.32142222,17
ridge,0.36223447,0.31707433,19
ridge,0.36426871,0.31542274,20
ridge,0.38036742,0.30394748,50
ridge,0.40024990,0.30095132,75
ridge,0.41174015,0.28194654,100
ridge,0.44251131,0.27843745,150
ridge,0.47000226,0.25028340,200
