model,train_score,cv_score,n_features
rf,0.86462805,0.15865765,2
rf,0.91311396,0.37941969,5
rf,0.91837200,0.40436839,10
rf,0.91819170,0.40800459,12
rf,0.91754232,0.39888503,15
rf,0.91756296,0.38467589,17
rf,0.91743513,0.38601238,19
rf,0.91681748,0.38465877,20
rf,0.91646335,0.36870090,50
rf,0.91603000,0.37010870,75
rf,0.91540167,0.35755104,100
rf,0.91503063,0.35017434,150
rf,0.91430071,0.34247111,200
