model,train_score,cv_score,n_features
ridge,0.20666457,0.17805948,2
ridge,0.34634466,0.32412678,5
ridge,0.35445633,0.32365451,10
ridge,0.35968483,0.32066881,12
ridge,0.36371271,0.32260796,15
ridge,0.36121144,0.31931766,17
ridge,0.36245390,0.31905692,19
ridge,0.36251061,0.31719482,20
ridge,0.38109085,0.30746191,50
ridge,0.40263258,0.30163958,75
ridge,0.41619452,0.29627283,100
ridge,0.44455349,0.27180490,150
ridge,0.47342145,0.25431433,200
