model,train_score,cv_score,n_features
rf,0.86292954,0.16065332,2
rf,0.91145153,0.38223090,5
rf,0.91891980,0.40260814,10
rf,0.91830775,0.40158691,12
rf,0.91583996,0.39525548,15
rf,0.91539077,0.38816591,17
rf,0.91546649,0.39081192,19
rf,0.91087514,0.37373940,20
rf,0.91286167,0.36034433,50
rf,0.91313443,0.35557618,75
rf,0.91300237,0.34828140,100
rf,0.90870550,0.35179681,150
rf,0.91088242,0.34329106,200
