model,train_score,cv_score,n_features
ridge,0.20666458,0.17805239,2
ridge,0.34639763,0.32413522,5
ridge,0.35426092,0.32410986,10
ridge,0.35750633,0.32096413,12
ridge,0.36271686,0.32243208,15
ridge,0.36498307,0.32166105,17
ridge,0.36421658,0.31938485,19
ridge,0.36483576,0.31791017,20
ridge,0.38014197,0.30632776,50
ridge,0.39689970,0.30491722,75
ridge,0.41436200,0.29288447,100
ridge,0.44204845,0.26476543,150
ridge,0.47437909,0.24989729,200
